ID:	--
Memory	--
	--
Chn	--
1095	1,52753E-4
1096	1,69726E-4
1097	1,44267E-4
1098	1,18808E-4
1099	1,44267E-4
1100	2,03671E-4
1101	1,35781E-4
1102	1,78212E-4
1103	1,86699E-4
1104	2,12157E-4
1105	1,52753E-4
1106	1,78212E-4
1107	1,10322E-4
1108	1,27294E-4
1109	1,01836E-4
1110	1,44267E-4
1111	1,86699E-4
1112	1,35781E-4
1113	6,78904E-5
1114	1,27294E-4
1115	1,6124E-4
1116	1,95185E-4
1117	1,86699E-4
1118	1,6124E-4
1119	1,52753E-4
1120	1,35781E-4
1121	1,35781E-4
1122	1,78212E-4
1123	2,12157E-4
1124	2,03671E-4
1125	1,35781E-4
1126	1,95185E-4
1127	1,52753E-4
1128	1,52753E-4
1129	1,52753E-4
1130	6,78904E-5
1131	1,44267E-4
1132	1,78212E-4
1133	2,12157E-4
1134	1,6124E-4
1135	1,6124E-4
1136	1,44267E-4
1137	1,10322E-4
1138	1,78212E-4
1139	1,52753E-4
1140	1,27294E-4
1141	1,6124E-4
1142	2,2913E-4
1143	1,6124E-4
1144	1,35781E-4
1145	1,95185E-4
1146	1,01836E-4
1147	1,44267E-4
1148	1,35781E-4
1149	1,6124E-4
1150	1,10322E-4
1151	1,44267E-4
1152	1,95185E-4
1153	1,52753E-4
1154	1,95185E-4
1155	1,86699E-4
1156	2,37616E-4
1157	2,37616E-4
1158	2,2913E-4
1159	2,20644E-4
1160	1,18808E-4
1161	2,03671E-4
1162	1,86699E-4
1163	1,6124E-4
1164	2,12157E-4
1165	1,52753E-4
1166	1,78212E-4
1167	2,03671E-4
1168	2,20644E-4
1169	9,33493E-5
1170	1,35781E-4
1171	2,20644E-4
1172	1,69726E-4
1173	2,63075E-4
1174	2,20644E-4
1175	2,63075E-4
1176	1,86699E-4
1177	2,2913E-4
1178	1,78212E-4
1179	1,95185E-4
1180	2,12157E-4
1181	1,52753E-4
1182	2,80048E-4
1183	2,71562E-4
1184	3,13993E-4
1185	2,63075E-4
1186	1,69726E-4
1187	2,71562E-4
1188	2,71562E-4
1189	2,46103E-4
1190	3,22479E-4
1191	3,39452E-4
1192	3,73397E-4
1193	2,88534E-4
1194	4,15829E-4
1195	3,81883E-4
1196	2,2913E-4
1197	3,64911E-4
1198	4,15829E-4
1199	3,64911E-4
1200	3,47938E-4
1201	3,47938E-4
1202	3,64911E-4
1203	3,81883E-4
1204	4,5826E-4
1205	3,9037E-4
1206	3,98856E-4
1207	5,85555E-4
1208	3,9037E-4
1209	4,83719E-4
1210	3,98856E-4
1211	4,41288E-4
1212	4,66746E-4
1213	5,26151E-4
1214	5,51609E-4
1215	4,92205E-4
1216	6,44959E-4
1217	7,21335E-4
1218	9,67438E-4
1219	0,00189
1220	0,00287
1221	0,00486
1222	0,00872
1223	0,01468
1224	0,02692
1225	0,04308
1226	0,06917
1227	0,1075
1228	0,16081
1229	0,23039
1230	0,31572
1231	0,41848
1232	0,5305
1233	0,64082
1234	0,74831
1235	0,84396
1236	0,92489
1237	0,96867
1238	1
1239	0,99783
1240	0,98399
1241	0,94481
1242	0,90352
1243	0,85273
1244	0,80077
1245	0,73793
1246	0,69377
1247	0,64366
1248	0,59514
1249	0,54738
1250	0,51292
1251	0,47528
1252	0,43886
1253	0,40614
1254	0,38225
1255	0,35547
1256	0,32944
1257	0,30756
1258	0,28559
1259	0,26678
1260	0,24963
1261	0,22958
1262	0,21987
1263	0,20424
1264	0,19184
1265	0,18071
1266	0,16951
1267	0,15788
1268	0,14742
1269	0,14046
1270	0,13021
1271	0,12194
1272	0,11502
1273	0,10778
1274	0,10274
1275	0,09521
1276	0,0927
1277	0,08432
1278	0,0807
1279	0,07677
1280	0,07272
1281	0,06911
1282	0,06414
1283	0,06024
1284	0,05822
1285	0,05483
1286	0,05116
1287	0,05002
1288	0,04725
1289	0,04303
1290	0,04157
1291	0,03981
1292	0,0377
1293	0,03583
1294	0,03504
1295	0,03279
1296	0,03142
1297	0,02988
1298	0,02848
1299	0,02731
1300	0,0252
1301	0,02436
1302	0,02296
1303	0,02257
1304	0,02123
1305	0,02031
1306	0,02008
1307	0,01886
1308	0,01763
1309	0,01682
1310	0,0165
1311	0,01601
1312	0,01534
1313	0,01459
1314	0,01454
1315	0,01425
1316	0,01247
1317	0,0123
1318	0,01215
1319	0,01121
1320	0,01128
1321	0,01097
1322	0,01033
1323	0,01012
1324	0,00974
1325	0,00937
1326	0,00919
1327	0,00854
1328	0,00905
1329	0,00792
1330	0,00808
1331	0,00782
1332	0,00789
1333	0,00701
1334	0,00661
1335	0,00712
1336	0,00668
1337	0,00642
1338	0,00597
1339	0,00634
1340	0,00565
1341	0,00545
1342	0,00565
1343	0,00545
1344	0,0049
1345	0,00507
1346	0,00509
1347	0,00519
1348	0,00481
1349	0,00433
1350	0,00424
1351	0,00408
1352	0,00434
1353	0,00373
1354	0,00388
1355	0,00369
1356	0,00385
1357	0,00372
1358	0,00324
1359	0,0035
1360	0,00323
1361	0,00329
1362	0,00326
1363	0,00322
1364	0,0032
1365	0,00317
1366	0,00279
1367	0,00288
1368	0,00305
1369	0,003
1370	0,00288
1371	0,00266
1372	0,00267
1373	0,00263
1374	0,00255
1375	0,00247
1376	0,0025
1377	0,00216
1378	0,00214
1379	0,00229
1380	0,00205
1381	0,00205
1382	0,00226
1383	0,00177
1384	0,00184
1385	0,00198
1386	0,00205
1387	0,00193
1388	0,00165
1389	0,00198
1390	0,00183
1391	0,00157
1392	0,00173
1393	0,0017
1394	0,0019
1395	0,0017
1396	0,00165
1397	0,00152
1398	0,00179
1399	0,00167
1400	0,00113
1401	0,00151
1402	0,00153
