ID:	--
Memory	--
	--
Chn	--
1164	1,04376E-4
1165	1,04376E-4
1166	1,35075E-4
1167	1,16656E-4
1168	7,98173E-5
1169	1,28936E-4
1170	1,28936E-4
1171	9,82367E-5
1172	7,98173E-5
1173	1,28936E-4
1174	8,59571E-5
1175	1,90334E-4
1176	1,28936E-4
1177	1,10516E-4
1178	1,35075E-4
1179	1,22796E-4
1180	1,47355E-4
1181	1,53495E-4
1182	1,71914E-4
1183	1,16656E-4
1184	1,90334E-4
1185	1,96473E-4
1186	2,14893E-4
1187	1,90334E-4
1188	1,78054E-4
1189	2,14893E-4
1190	1,59635E-4
1191	1,78054E-4
1192	2,39452E-4
1193	1,71914E-4
1194	2,02613E-4
1195	2,57871E-4
1196	2,8243E-4
1197	2,39452E-4
1198	3,19269E-4
1199	2,39452E-4
1200	2,76291E-4
1201	2,9471E-4
1202	3,25409E-4
1203	3,0699E-4
1204	3,13129E-4
1205	3,74527E-4
1206	3,43828E-4
1207	2,51731E-4
1208	3,99086E-4
1209	4,54345E-4
1210	3,86807E-4
1211	3,86807E-4
1212	3,74527E-4
1213	5,15742E-4
1214	5,46441E-4
1215	5,64861E-4
1216	6,26259E-4
1217	6,69237E-4
1218	0,00105
1219	0,00144
1220	0,00254
1221	0,00434
1222	0,00834
1223	0,01517
1224	0,02488
1225	0,04329
1226	0,07043
1227	0,10931
1228	0,16456
1229	0,23334
1230	0,3254
1231	0,42776
1232	0,54526
1233	0,66163
1234	0,77158
1235	0,86896
1236	0,94481
1237	0,98582
1238	1
1239	0,98926
1240	0,96359
1241	0,90489
1242	0,84514
1243	0,77998
1244	0,71331
1245	0,64549
1246	0,59326
1247	0,53132
1248	0,4764
1249	0,43192
1250	0,39196
1251	0,35153
1252	0,31797
1253	0,28648
1254	0,26093
1255	0,23359
1256	0,21398
1257	0,19552
1258	0,17863
1259	0,16205
1260	0,14638
1261	0,13404
1262	0,12272
1263	0,11254
1264	0,10249
1265	0,09374
1266	0,08771
1267	0,08006
1268	0,07391
1269	0,06646
1270	0,06213
1271	0,05728
1272	0,05335
1273	0,04949
1274	0,04511
1275	0,04149
1276	0,03816
1277	0,03656
1278	0,03337
1279	0,03082
1280	0,02885
1281	0,02675
1282	0,02491
1283	0,02409
1284	0,02171
1285	0,02059
1286	0,01901
1287	0,01895
1288	0,01678
1289	0,01543
1290	0,01487
1291	0,01355
1292	0,01258
1293	0,01205
1294	0,01082
1295	0,01053
1296	0,0103
1297	0,00963
1298	0,00912
1299	0,00859
1300	0,00871
1301	0,00737
1302	0,00707
1303	0,00713
1304	0,00637
1305	0,00599
1306	0,00586
1307	0,00562
1308	0,00536
1309	0,00504
1310	0,00475
1311	0,00459
1312	0,00437
1313	0,00452
1314	0,00417
1315	0,00373
1316	0,00386
1317	0,00348
1318	0,00307
1319	0,00327
1320	0,00307
1321	0,00303
1322	0,00285
1323	0,0026
1324	0,00274
1325	0,0025
1326	0,00258
1327	0,00261
1328	0,00228
1329	0,00218
1330	0,0022
1331	0,00211
1332	0,0019
1333	0,00193
1334	0,00185
1335	0,00176
1336	0,00174
1337	0,00157
1338	0,00149
1339	0,00157
1340	0,00152
1341	0,00146
1342	0,00131
1343	0,00136
1344	0,00147
1345	0,00118
1346	0,0013
1347	0,00111
1348	0,00109
1349	0,00113
1350	0,00113
1351	9,14829E-4
1352	0,00111
1353	7,79753E-4
1354	0,00103
1355	8,41151E-4
1356	9,39388E-4
1357	8,35012E-4
1358	8,59571E-4
1359	8,7185E-4
1360	7,92033E-4
1361	8,35012E-4
1362	7,12216E-4
1363	8,41151E-4
1364	7,67474E-4
1365	7,67474E-4
1366	6,69237E-4
1367	7,73614E-4
1368	6,81517E-4
1369	6,44678E-4
1370	5,46441E-4
1371	6,56958E-4
1372	5,34162E-4
1373	5,46441E-4
1374	7,06076E-4
1375	5,8328E-4
1376	6,26259E-4
1377	6,50818E-4
1378	5,71001E-4
1379	4,66624E-4
1380	5,71001E-4
1381	6,20119E-4
1382	6,13979E-4
1383	5,28022E-4
1384	5,09603E-4
1385	6,20119E-4
1386	3,86807E-4
1387	4,17506E-4
1388	4,54345E-4
1389	4,23646E-4
1390	4,54345E-4
1391	5,46441E-4
1392	4,29785E-4
1393	4,60484E-4
1394	3,62248E-4
1395	3,43828E-4
1396	4,42065E-4
1397	5,28022E-4
1398	4,17506E-4
1399	3,13129E-4
1400	3,62248E-4
1401	4,35925E-4
1402	4,29785E-4
1403	3,92947E-4
1404	4,23646E-4
1405	4,11366E-4
1406	3,49968E-4
1407	3,80667E-4
1408	3,68387E-4
1409	3,13129E-4
1410	3,62248E-4
1411	4,11366E-4
1412	4,29785E-4
1413	3,13129E-4
1414	2,70151E-4
1415	2,9471E-4
1416	3,43828E-4
1417	2,64011E-4
1418	3,74527E-4
1419	3,49968E-4
1420	2,76291E-4
1421	2,70151E-4
1422	3,25409E-4
1423	2,9471E-4
1424	2,39452E-4
1425	2,8243E-4
1426	3,56108E-4
1427	2,8243E-4
1428	3,0699E-4
1429	2,08753E-4
1430	2,9471E-4
1431	2,8243E-4
1432	2,76291E-4
1433	2,39452E-4
1434	3,0699E-4
1435	2,64011E-4
1436	3,0085E-4
1437	3,43828E-4
1438	2,70151E-4
1439	2,76291E-4
1440	2,8243E-4
1441	3,13129E-4
1442	2,21032E-4
1443	2,57871E-4
1444	3,31549E-4
1445	2,9471E-4
1446	2,27172E-4
1447	2,64011E-4
1448	2,02613E-4
1449	2,8857E-4
1450	2,64011E-4
1451	2,51731E-4
1452	2,51731E-4
1453	3,0085E-4
1454	2,33312E-4
1455	2,21032E-4
1456	1,84194E-4
1457	3,0699E-4
1458	2,64011E-4
