ID:	--
Memory	--
	--
Chn	--
1395	2,92288E-4
1396	3,46668E-4
1397	4,01047E-4
1398	3,70458E-4
1399	3,73857E-4
1400	3,80655E-4
1401	3,70458E-4
1402	3,84053E-4
1403	3,12681E-4
1404	2,92288E-4
1405	2,58301E-4
1406	2,95687E-4
1407	3,05883E-4
1408	3,26275E-4
1409	3,05883E-4
1410	2,95687E-4
1411	3,09282E-4
1412	3,33073E-4
1413	2,78694E-4
1414	3,26275E-4
1415	2,617E-4
1416	2,8889E-4
1417	3,09282E-4
1418	2,82092E-4
1419	2,8889E-4
1420	3,16079E-4
1421	2,31112E-4
1422	3,02484E-4
1423	3,02484E-4
1424	3,22877E-4
1425	2,54903E-4
1426	2,92288E-4
1427	3,09282E-4
1428	2,07321E-4
1429	2,78694E-4
1430	2,1072E-4
1431	2,8889E-4
1432	2,71896E-4
1433	1,80131E-4
1434	2,44707E-4
1435	2,71896E-4
1436	2,617E-4
1437	2,75295E-4
1438	2,617E-4
1439	1,73334E-4
1440	2,3451E-4
1441	2,44707E-4
1442	2,58301E-4
1443	2,00523E-4
1444	2,3451E-4
1445	2,71896E-4
1446	2,37909E-4
1447	2,48105E-4
1448	2,48105E-4
1449	2,37909E-4
1450	1,86929E-4
1451	2,44707E-4
1452	2,617E-4
1453	1,42745E-4
1454	2,00523E-4
1455	2,51504E-4
1456	2,07321E-4
1457	2,03922E-4
1458	2,31112E-4
1459	1,90327E-4
1460	1,93726E-4
1461	2,54903E-4
1462	1,97125E-4
1463	2,07321E-4
1464	1,97125E-4
1465	2,37909E-4
1466	2,03922E-4
1467	2,07321E-4
1468	1,8353E-4
1469	2,27713E-4
1470	1,90327E-4
1471	1,90327E-4
1472	2,48105E-4
1473	1,90327E-4
1474	2,48105E-4
1475	2,17517E-4
1476	2,24314E-4
1477	2,1072E-4
1478	2,03922E-4
1479	1,8353E-4
1480	1,97125E-4
1481	1,42745E-4
1482	1,59739E-4
1483	2,27713E-4
1484	1,39347E-4
1485	1,73334E-4
1486	1,8353E-4
1487	1,69935E-4
1488	2,03922E-4
1489	2,37909E-4
1490	2,1072E-4
1491	2,24314E-4
1492	1,49543E-4
1493	1,29151E-4
1494	2,07321E-4
1495	1,66536E-4
1496	1,93726E-4
1497	1,39347E-4
1498	1,80131E-4
1499	1,8353E-4
1500	1,63138E-4
1501	1,97125E-4
1502	2,14118E-4
1503	2,14118E-4
1504	1,73334E-4
1505	1,69935E-4
1506	2,00523E-4
1507	1,86929E-4
1508	1,80131E-4
1509	1,76732E-4
1510	2,27713E-4
1511	1,63138E-4
1512	1,76732E-4
1513	2,07321E-4
1514	1,66536E-4
1515	1,49543E-4
1516	1,80131E-4
1517	1,63138E-4
1518	2,27713E-4
1519	1,69935E-4
1520	1,8353E-4
1521	1,59739E-4
1522	1,25752E-4
1523	2,00523E-4
1524	1,39347E-4
1525	1,86929E-4
1526	1,5634E-4
1527	1,76732E-4
1528	1,66536E-4
1529	1,76732E-4
1530	1,5634E-4
1531	1,76732E-4
1532	1,52942E-4
1533	1,69935E-4
1534	1,63138E-4
1535	1,49543E-4
1536	1,59739E-4
1537	1,29151E-4
1538	1,59739E-4
1539	1,52942E-4
1540	1,76732E-4
1541	1,49543E-4
1542	1,52942E-4
1543	1,5634E-4
1544	1,49543E-4
1545	1,76732E-4
1546	2,07321E-4
1547	1,73334E-4
1548	1,66536E-4
1549	1,42745E-4
1550	1,69935E-4
1551	1,42745E-4
1552	1,22353E-4
1553	1,80131E-4
1554	1,46144E-4
1555	1,49543E-4
1556	1,5634E-4
1557	1,32549E-4
1558	1,63138E-4
1559	1,39347E-4
1560	1,35948E-4
1561	1,15556E-4
1562	1,59739E-4
1563	1,5634E-4
1564	1,63138E-4
1565	1,35948E-4
1566	1,29151E-4
1567	1,73334E-4
1568	1,29151E-4
1569	1,59739E-4
1570	1,52942E-4
1571	1,49543E-4
1572	1,69935E-4
1573	1,46144E-4
1574	1,76732E-4
1575	1,12157E-4
1576	1,80131E-4
1577	1,32549E-4
1578	1,42745E-4
1579	1,29151E-4
1580	1,5634E-4
1581	1,5634E-4
1582	1,35948E-4
1583	1,49543E-4
1584	1,59739E-4
1585	9,85623E-5
1586	1,25752E-4
1587	1,49543E-4
1588	1,15556E-4
1589	1,15556E-4
1590	1,35948E-4
1591	1,01961E-4
1592	1,12157E-4
1593	1,42745E-4
1594	1,73334E-4
1595	1,39347E-4
1596	9,51636E-5
1597	1,39347E-4
1598	1,29151E-4
1599	1,32549E-4
1600	9,85623E-5
1601	1,5634E-4
1602	1,15556E-4
1603	1,08758E-4
1604	1,22353E-4
1605	1,29151E-4
1606	1,18955E-4
1607	1,25752E-4
1608	1,39347E-4
1609	1,25752E-4
1610	1,15556E-4
1611	1,25752E-4
1612	1,86929E-4
1613	1,35948E-4
1614	1,12157E-4
1615	1,46144E-4
1616	1,25752E-4
1617	1,18955E-4
1618	1,12157E-4
1619	1,01961E-4
1620	1,12157E-4
	--
ROI:01	--
Ctrd:	0,00421
Fwhm:	5,4957E-5
Gross	--
