200	72
201	64
202	44
203	72
204	48
205	68
206	56
207	60
208	52
209	56
210	40
211	48
212	52
213	56
214	64
215	48
216	68
217	52
218	60
219	64
220	60
221	52
222	52
223	44
224	56
225	64
226	68
227	60
228	64
229	52
230	72
231	44
232	56
233	68
234	76
235	68
236	84
237	92
238	188
239	3328
240	7508
241	10476
242	9512
243	6876
244	4640
245	2920
246	2068
247	1324
248	812
249	500
250	368
251	304
252	268
253	236
254	208
255	184
256	144
257	116
258	140
259	124
260	108
261	88
262	132
263	120
264	92
265	76
266	72
267	124
268	116
269	108
270	104
271	96
272	80
273	72
274	76
275	104
276	92
277	132
278	100
279	108
280	96
281	88
282	256
283	268
284	324
285	332
286	248
287	200
288	252
289	284
290	280
291	232
292	156
293	140
294	104
295	112
296	88
297	156
298	660
299	1320
300	1632
301	1516
302	1012
303	760
304	504
305	344
306	224
307	200
308	152
309	132
310	120
311	88
312	100
313	84
314	76
315	64
316	80
317	60
318	68
319	84
320	132
321	164
322	160
323	176
324	108
325	116
326	100
327	92
328	84
329	88
330	92
331	72
332	68
333	48
334	64
335	68
336	56
337	68
338	52
339	60
340	56
341	52
342	56
343	56
344	52
345	64
346	48
347	76
348	72
349	88
350	776
351	1608
352	2008
353	1964
354	1576
355	1008
356	756
357	576
358	364
359	304
360	216
361	168
362	132
363	116
364	124
365	100
366	80
367	88
368	100
369	104
370	56
371	92
372	88
373	76
374	64
375	100
376	76
377	72
378	72
379	76
380	100
381	60
382	64
383	72
384	68
385	68
386	52
387	68
388	64
389	264
390	1816
391	2664
392	3176
393	2748
394	2096
395	1628
396	1084
397	784
398	524
399	384
400	292
401	216
402	176
403	156
404	136
405	120
406	88
407	96
408	136
409	92
410	76
411	100
412	80
413	76
414	72
415	80
416	76
417	96
418	96
419	152
420	1404
421	4208
422	5536
423	6060
424	5196
425	3960
426	2784
427	1872
428	1296
429	980
430	660
431	512
432	388
433	292
434	272
435	232
436	196
437	152
438	180
439	148
440	140
441	132
442	120
443	132
444	120
445	112
446	112
447	120
448	124
449	108
450	128
451	104
452	96
453	72
454	68
455	80
456	72
457	72
458	84
459	56
460	72
461	44
462	60
463	56
464	52
465	76
466	68
467	60
468	44
469	60
470	84
471	68
472	52
473	60
474	48
475	64
476	60
477	76
478	68
479	92
480	72
481	72
482	60
483	68
484	84
485	48
486	52
487	72
488	60
489	48
490	52
491	76
492	344
493	824
494	1196
495	1360
496	1028
497	732
498	524
499	344
500	252
501	204
502	128
503	96
504	76
505	96
506	72
507	52
508	88
509	72
510	56
511	68
512	72
513	72
514	84
515	76
516	52
517	56
518	68
519	64
520	64
521	56
522	52
523	56
524	60
525	48
526	72
527	76
528	60
529	68
530	104
531	1020
532	1292
533	1292
534	1128
535	884
536	720
537	504
538	372
539	284
540	212
541	224
542	152
543	160
544	116
545	116
546	112
547	100
548	88
549	76
550	96
551	76
552	76
553	64
554	64
555	72
556	72
557	64
558	60
559	76
560	64
561	68
562	128
563	128
564	204
565	184
566	204
567	168
568	140
569	116
570	92
571	92
572	68
573	68
574	48
575	60
576	52
577	52
578	60
579	44
580	64
581	64
582	52
583	64
584	52
585	44
586	36
587	44
588	40
589	52
590	60
591	44
592	48
593	52
594	56
595	68
596	56
597	52
598	40
599	44
600	48
