Nov 14 2016     10:18:49 am     Elt: 262055 Seconds.  Real Time: 262092
ID: RI34
Memory Size: 16384 Chls  Conversion Gain: 2048  Adc Offset: 0000 Chls

 Chn    Counts  ROI
 870,        8, 001
 871,       11, 001
 872,       11, 001
 873,        8, 001
 874,        9, 001
 875,       22, 001
 876,       23, 001
 877,       36, 001
 878,       47, 001
 879,       68, 001
 880,      113, 001
 881,      118, 001
 882,      201, 001
 883,      326, 001
 884,      461, 001
 885,      698, 001
 886,      965, 001
 887,     1383, 001
 888,     1938, 001
 889,     2637, 001
 890,     3582, 001
 891,     4894, 001
 892,     6113, 001
 893,     7754, 001
 894,     9822, 001
 895,    11761, 001
 896,    14457, 001
 897,    17163, 001
 898,    20035, 001
 899,    22770, 001
 900,    26003, 001
 901,    28326, 001
 902,    31022, 001
 903,    33292, 001
 904,    35136, 001
 905,    36601, 001
 906,    37977, 001
 907,    38593, 001
 908,    38944, 001
 909,    38503, 001
 910,    38542, 001
 911,    37186, 001
 912,    36289, 001
 913,    34862, 001
 914,    33566, 001
 915,    31732, 001
 916,    30248, 001
 917,    28701, 001
 918,    26900, 001
 919,    25460, 001
 920,    24267, 001
 921,    22851, 001
 922,    21224, 001
 923,    20070, 001
 924,    19085, 001
 925,    17764, 001
 926,    16613, 001
 927,    15610, 001
 928,    14693, 001
 929,    13836, 001
 930,    12977, 001
 931,    12576, 001
 932,    11508, 001
 933,    10950, 001
 934,    10386, 001
 935,     9883, 001
 936,     9385, 001
 937,     8748, 001
 938,     8453, 001
 939,     7869, 001
 940,     7631, 001
 941,     7142, 001
 942,     6837, 001
 943,     6473, 001
 944,     6233, 001
 945,     5848, 001
 946,     5519, 001
 947,     5388, 001
 948,     5094, 001
 949,     4818, 001
 950,     4520, 001
 951,     4365, 001
 952,     4331, 001
 953,     4079, 001
 954,     3829, 001
 955,     3658, 001
 956,     3578, 001
 957,     3463, 001
 958,     3236, 001
 959,     3083, 001
 960,     3006, 001
 961,     2967, 001
 962,     2770, 001
 963,     2681, 001
 964,     2580, 001
 965,     2587, 001
 966,     2488, 001
 967,     2421, 001
 968,     2300, 001
 969,     2165, 001
 970,     2072, 001
 971,     2029, 001
 972,     1987, 001
 973,     1885, 001
 974,     1936, 001
 975,     1826, 001
 976,     1756, 001
 977,     1760, 001
 978,     1618, 001
 979,     1544, 001
 980,     1614, 001
 981,     1583, 001
 982,     1521, 001
 983,     1348, 001
 984,     1376, 001
 985,     1418, 001
 986,     1390, 001
 987,     1315, 001
 988,     1300, 001
 989,     1335, 001
 990,     1215, 001
 991,     1213, 001
 992,     1130, 001
 993,     1112, 001
 994,     1220, 001
 995,     1097, 001
 996,     1114, 001
 997,     1006, 001
 998,     1012, 001
 999,     1041, 001
1000,     1040, 001
1001,      970, 001
1002,      969, 001
1003,      961, 001
1004,      908, 001
1005,      884, 001
1006,      835, 001
1007,      893, 001
1008,      914, 001
1009,      830, 001
1010,      776, 001
1011,      825, 001
1012,      794, 001
1013,      813, 001
1014,      757, 001
1015,      746, 001
1016,      786, 001
1017,      790, 001
1018,      771, 001
1019,      706, 001
1020,      715, 001
1021,      714, 001
1022,      679, 001
1023,      646, 001
1024,      730, 001
1025,      652, 001
1026,      652, 001
1027,      649, 001
1028,      598, 001
1029,      607, 001
1030,      638, 001
1031,      611, 001
1032,      622, 001
1033,      623, 001
1034,      561, 001
1035,      608, 001
1036,      526, 001
1037,      586, 001
1038,      553, 001
1039,      525, 001
1040,      583, 001
1041,      536, 001
1042,      555, 001
1043,      528, 001
1044,      522, 001
1045,      518, 001
1046,      514, 001
1047,      478, 001
1048,      497, 001
1049,      426, 001
1050,      513, 001
1051,      453, 001
1052,      494, 001
1053,      448, 001
1054,      455, 001
1055,      415, 001
1056,      485, 001
1057,      437, 001
1058,      468, 001
1059,      428, 001
1060,      394, 001
1061,      450, 001
1062,      383, 001
1063,      421, 001
1064,      397, 001
1065,      367, 001
1066,      397, 001
1067,      412, 001
1068,      410, 001
1069,      364, 001
1070,      386, 001
1071,      354, 001
1072,      355, 001
1073,      357, 001
1074,      343, 001
1075,      358, 001
1076,      374, 001
1077,      321, 001
1078,      332, 001
1079,      312, 001
1080,      361, 001
1081,      334, 001
1082,      321, 001
1083,      321, 001
1084,      295, 001
1085,      330, 001
1086,      332, 001
1087,      296, 001
1088,      323, 001
1089,      302, 001
1090,      284, 001
1091,      270, 001
1092,      288, 001
1093,      260, 001
1094,      280, 001
1095,      285, 001
1096,      290, 001
1097,      269, 001
1098,      262, 001
1099,      225, 001
1100,      281, 001
1101,      256, 001
1102,      268, 001
1103,      248, 001
1104,      255, 001
1105,      247, 001
1106,      252, 001
1107,      234, 001
1108,      203, 001
1109,      252, 001
1110,      247, 001
1111,      234, 001
1112,      234, 001
1113,      226, 001
1114,      216, 001
1115,      201, 001
1116,      221, 001
1117,      218, 001
1118,      224, 001
1119,      218, 001
1120,      210, 001
1121,      187, 001
1122,      236, 001
1123,      202, 001
1124,      194, 001
1125,      211, 001
1126,      182, 001
1127,      189, 001
1128,      207, 001
1129,      200, 001
1130,      182, 001
1131,      179, 001
1132,      192, 001
1133,      194, 001
1134,      185, 001
1135,      164, 001
1136,      161, 001
1137,      171, 001
1138,      170, 001
1139,      177, 001
1140,      162, 001
1141,      158, 001
1142,      171, 001
1143,      139, 001
1144,      159, 001
1145,      154, 001
1146,      148, 001
1147,      173, 001
1148,      154, 001
1149,      116, 001
1150,      163, 001
1151,      148, 001
1152,      143, 001
1153,      167, 001
1154,      102, 001
1155,      153, 001
1156,      134, 001
