460	36
461	25
462	42
463	39
464	48
465	44
466	38
467	43
468	53
469	75
470	73
471	126
472	225
473	378
474	720
475	1221
476	2032
477	3353
478	5455
479	8186
480	12588
481	17317
482	24115
483	31923
484	40883
485	50676
486	61041
487	70458
488	78970
489	86172
490	91508
491	94161
492	96127
493	94808
494	92084
495	88028
496	83210
497	77197
498	71572
499	65968
500	60743
501	55809
502	50840
503	46463
504	42298
505	38523
506	35272
507	31875
508	29269
509	26971
510	24752
511	22631
512	20612
513	18723
514	17318
515	16090
516	14589
517	13450
518	12449
519	11229
520	10403
521	9564
522	8902
523	8072
524	7605
525	6937
526	6443
527	6057
528	5493
529	4995
530	4720
531	4342
532	4003
533	3723
534	3363
535	3211
536	2944
537	2691
538	2419
539	2338
540	2180
541	2003
542	1853
543	1748
544	1663
545	1481
546	1420
547	1259
548	1153
549	1117
550	1011
551	924
552	944
553	849
554	774
555	728
556	704
557	646
558	568
559	518
560	507
561	492
562	488
563	434
564	420
565	361
566	391
567	329
568	307
569	348
570	276
571	262
572	247
573	233
574	221
575	196
576	190
577	200
578	159
579	174
580	154
581	165
582	147
583	157
584	119
585	106
586	99
587	93
588	109
589	95
590	97
591	79
592	81
593	63
594	71
595	79
596	82
597	69
598	54
599	69
600	61
601	49
602	55
603	58
604	47
605	39
606	61
607	48
608	45
609	48
610	39
611	39
612	51
613	46
614	36
615	34
616	40
617	27
618	39
619	29
620	33
621	35
622	17
623	33
624	31
625	31
626	34
627	30
628	30
629	21
630	28
631	25
632	18
633	35
634	28
635	19
636	24
637	22
638	17
639	25
640	21
641	29
642	18
643	18
644	22
645	19
646	21
647	26
648	25
649	16
650	28
651	25
652	23
653	10
654	22
655	24
656	21
657	23
658	14
659	16
660	16
661	22
662	13
663	13
664	14
665	14
666	14
667	18
668	18
669	13
670	14
671	16
672	18
673	12
674	20
675	19
676	15
677	15
678	16
679	12
680	17
681	17
682	20
683	14
684	13
685	21
686	19
687	24
688	11
689	11
690	21
691	15
692	15
693	13
694	13
695	19
696	12
697	18
698	17
699	10
700	14
701	11
702	14
703	13
704	14
705	15
706	17
707	14
708	17
709	15
710	15
711	17
712	15
713	8
714	17
715	13
716	13
717	16
718	20
719	16
720	16
721	20
722	16
723	9
724	18
725	12
726	15
727	14
728	14
729	19
730	11
731	16
732	15
733	17
734	20
735	9
736	12
737	16
738	11
739	11
740	12
741	14
742	14
743	13
744	11
745	16
746	14
747	14
748	13
749	17
750	12
751	11
752	9
753	15
754	16
755	13
756	14
757	10
758	10
759	11
760	19
761	14
762	12
763	17
764	9
765	6
766	10
767	17
768	13
769	15
770	17
771	11
772	11
773	12
774	9
775	13
776	12
777	8
778	11
779	11
780	12
781	11
782	8
783	8
784	16
785	5
786	17
787	11
788	16
789	9
790	5
791	20
792	11
793	12
794	11
795	15
796	12
797	19
798	6
799	16
800	10
801	19
802	13
803	7
804	13
805	13
806	8
807	10
808	14
809	8
810	13
811	16
812	12
813	18
814	12
815	18
816	9
817	8
818	12
819	15
820	8
821	15
822	12
823	13
824	18
825	12
826	10
827	15
828	16
829	11
830	13
831	9
832	15
833	15
834	5
835	10
836	13
837	8
838	11
839	13
840	12
841	11
842	16
843	12
844	14
845	13
846	8
847	9
848	11
849	14
850	17
851	11
852	7
853	10
854	11
855	12
856	6
857	15
858	9
859	12
860	8
861	10
862	11
863	15
864	9
865	11
866	8
867	10
868	13
869	19
870	10
871	9
872	15
873	10
874	12
875	9
876	12
877	6
878	7
879	14
880	12
881	20
882	12
883	18
884	13
885	9
886	7
887	12
888	7
889	14
890	14
891	6
892	14
893	8
894	14
895	6
896	15
897	8
898	9
899	15
900	6
901	10
902	13
903	11
904	13
905	9
906	13
907	13
908	11
909	11
910	7
911	14
912	8
913	7
914	7
915	13
916	10
917	15
918	14
919	13
920	12
921	10
922	11
923	13
924	11
925	9
926	9
927	14
928	13
929	9
930	9
931	5
932	12
933	7
934	9
935	12
936	10
937	10
938	14
939	9
940	3
941	12
942	11
943	12
944	15
945	14
946	8
947	14
948	8
949	13
950	6
951	8
952	15
953	12
954	9
955	2
956	11
957	8
958	9
959	8
960	9
961	14
962	16
963	12
964	12
965	12
966	7
967	8
968	10
969	15
970	6
971	7
972	9
	
ROI:01  Beg: 0460 Chn                           End: 0972 Chn                 	
Ctrd:     492.93 Chn                 	
Fwhm:      18.52 Chn                 	
Gross Integral:    2086658 cts        Net Integral:    2075971 cts	
